AMPPID,Ingredient
1327911000001107,verapamil
1328011000001109,verapamil
1328111000001105,verapamil
1328211000001104,simvastatin
1328311000001107,simvastatin
1328411000001100,simvastatin
1328511000001101,atenolol
1328611000001102,atenolol
1328711000001106,atenolol
1328811000001103,atenolol
1328911000001108,atenolol
1329011000001104,atenolol
1329111000001103,verapamil
1329211000001109,atenolol
1329311000001101,verapamil
1329411000001108,verapamil
1329511000001107,verapamil
1329611000001106,verapamil
1329711000001102,atenolol
1329811000001105,verapamil
1329911000001100,atenolol
1330011000001105,atenolol
1330111000001106,atenolol
1330211000001100,atenolol
1330311000001108,atenolol
1330411000001101,atenolol
1330511000001102,atenolol
1330611000001103,atenolol
1330711000001107,atenolol
1330811000001104,atenolol
1330911000001109,atenolol
1331011000001101,atenolol
1331111000001100,atenolol
1331211000001106,atenolol
1331311000001103,atenolol
1331411000001105,atenolol
1331511000001109,atenolol
1331611000001108,atenolol
1331711000001104,atenolol
1331811000001107,atenolol
1331911000001102,atenolol
1332011000001109,atenolol
1332111000001105,atenolol
1332211000001104,atenolol
1332311000001107,atenolol
1332411000001100,atenolol
1332511000001101,atenolol
1332611000001102,atenolol
1332711000001106,atenolol
1332811000001103,atenolol
1332911000001108,atenolol
1333011000001100,verapamil
1333111000001104,verapamil
1333211000001105,verapamil
1333311000001102,verapamil
1333411000001109,verapamil
1333511000001108,verapamil
1333611000001107,verapamil
1333711000001103,verapamil
1333811000001106,verapamil
1333911000001101,verapamil
1334011000001103,verapamil
1334111000001102,verapamil
1334211000001108,verapamil
1334311000001100,verapamil
1334411000001107,verapamil
1334511000001106,verapamil
1334611000001105,verapamil
1334711000001101,verapamil
1334811000001109,verapamil
1334911000001104,verapamil
1335011000001104,verapamil
1335111000001103,verapamil
1335211000001109,verapamil
1335311000001101,verapamil
1335411000001108,verapamil
1335511000001107,verapamil
1335611000001106,verapamil
1335711000001102,verapamil
1335811000001105,verapamil
1335911000001100,verapamil
1336011000001108,verapamil
1336111000001109,verapamil
1336211000001103,verapamil
1336311000001106,verapamil
1336411000001104,verapamil
1336511000001100,verapamil
1336611000001101,amiloride
1336611000001101,cyclopenthiazide
1336711000001105,amiloride
1336711000001105,bumetanide
