GTIN,AMPPID
5037563003235,1327911000001107
5012617009784,1328111000001105
05012617009784,1328111000001105
5013945184839,1328211000001104
5013945202311,1328211000001104
00191778008821,1328211000001104
00840164510188,1328211000001104
00191778008821,1328211000001104
5013945184785,1328311000001107
5013945202328,1328311000001107
00191778008838,1328311000001107
00840164510317,1328311000001107
00191778008838,1328311000001107
5013945182347,1328411000001100
5013945002683,1328411000001100
00191778008845,1328411000001100
0191778022803,1328411000001100
00840164513776,1328411000001100
00191778022803,1328411000001100
5025903002246,1328511000001101
5012617000071,1328611000001102
05012617000071,1328611000001102
5017007024019,1328711000001106
5017007019220,1328711000001106
5000456001090,1328911000001108
5012727903507,1329211000001109
5025903002239,1330411000001101
5012617000064,1330511000001102
05012617000064,1330511000001102
5017007023913,1330611000001103
5017007019213,1330611000001103
5000456001113,1330811000001104
5000456018531,1330811000001104
05056227205396,1330811000001104
5012727903491,1331011000001101
5025903002253,1331711000001104
5012617003331,1331811000001107
05012617003331,1331811000001107
5017007023951,1331911000001102
5017007019206,1331911000001102
5000456002400,1332111000001105
5012727903514,1332311000001107
5025903002093,1333011000001100
5012617009777,1333211000001105
05012617009777,1333211000001105
5017007024132,1333311000001102
5025903002086,1334211000001108
5012617009760,1334411000001107
05012617009760,1334411000001107
5017007023562,1334511000001106
5025903001881,1335311000001101
5012617009753,1335511000001107
05012617009753,1335511000001107
5017007023432,1335611000001106
5016565000237,1336511000001100
5099151007810,1336511000001100
5099151900746,1336511000001100
5021691101888,1336611000001101
5702191003536,1336711000001105
5013457014532,1336811000001102
5033847000211,1336911000001107
5013457014549,1337011000001106
5016192959212,1337211000001101
5016565000091,1337311000001109
5099151007872,1337311000001109
5028613001806,1337411000001102
05028613001806,1337411000001102
5013457010145,1337611000001104
1210001163461,1337611000001104
5012617009685,1337711000001108
5012617009722,1337711000001108
5025903083870,1337811000001100
5016565000145,1337911000001105
5025903002680,1338011000001107
5017007070863,1338111000001108
5012617009722,1338111000001108
5012617011558,1338311000001105
5012727902289,1338511000001104
5017007028017,1338711000001109
5013457010152,1339011000001102
1210001146303,1339011000001102
5016695270043,1339111000001101
5013417102071,1339611000001109
5000283655572,1339611000001109
5013457010169,1339711000001100
1210001146310,1339711000001100
5025903001041,1339811000001108
5012617011404,1339911000001103
5017007025733,1340011000001109
5000283598107,1340211000001104
5016695280219,1340411000001100
5025903002673,1341211000001105
5012617011565,1341311000001102
5016565000244,1341611000001107
5017007028116,1341711000001103
5016695270050,1341811000001106
5013417102095,1342311000001106
5000283655589,1342311000001106
5000283598114,1342411000001104
5016565000343,1342511000001100
5025903001058,1342711000001105
5012617011411,1342811000001102
5017007025757,1342911000001107
5016695280226,1343211000001109
5025903003809,1343311000001101
5017007028314,1343411000001108
5035382000114,1343911000001100
5060499390841,1343911000001100
5016695280196,1344311000001104
5702191004588,1344611000001109
5025903001928,1345011000001103
5027229000241,1345111000001102
5017007113119,1345311000001100
5012617017482,1345411000001107
5017007603023,1345411000001107
5012252102789,1345611000001105
5012712002130,1346111000001108
5021691920014,1346411000001103
5012617009074,1346911000001106
05012617009074,1346911000001106
5017007070580,1347111000001106
5025903003793,1347411000001101
5025903029533,1347411000001101
5012882007737,1347911000001109
5013457025101,1347911000001109
5012617005366,1348011000001106
